id,release_date,original_title,title
360920,2018-11-08,The Grinch,The Grinch
937278,2022-12-28,A Man Called Otto,A Man Called Otto
281957,2015-12-25,The Revenant,The Revenant
156022,2014-09-24,The Equalizer,The Equalizer
420818,2019-07-12,The Lion King,The Lion King
474350,2019-09-04,It Chapter Two,It Chapter Two
564,1999-04-16,The Mummy,The Mummy
461130,2019-12-06,Code 8,Code 8
762430,2023-08-23,Retribution,Retribution
321612,2017-03-16,Beauty and the Beast,Beauty and the Beast
65754,2011-12-14,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
111,1983-12-09,Scarface,Scarface
64635,2012-08-02,Total Recall,Total Recall
278927,2016-04-07,The Jungle Book,The Jungle Book
665,1959-11-18,Ben-Hur,Ben-Hur
776503,2021-08-13,CODA,CODA
454619,2018-04-13,Overboard,Overboard
1422,2006-10-04,The Departed,The Departed
9820,1998-07-28,The Parent Trap,The Parent Trap
1091,1982-06-25,The Thing,The Thing
364689,2017-12-09,Ferdinand,Ferdinand
567748,2021-09-24,The Guilty,The Guilty
449562,2019-05-09,The Hustle,The Hustle
7445,2009-12-02,Brothers,Brothers
17379,2006-01-13,Last Holiday,Last Holiday
282035,2017-06-06,The Mummy,The Mummy
763285,2022-03-16,Ambulance,Ambulance
43947,2010-06-17,I Spit on Your Grave,I Spit on Your Grave
637920,2019-10-10,7. Koğuştaki Mucize,Miracle in Cell No. 7
924,2004-03-19,Dawn of the Dead,Dawn of the Dead
565,2002-10-18,The Ring,The Ring
10483,2008-08-22,Death Race,Death Race
157433,2019-04-04,Pet Sematary,Pet Sematary
571891,2019-07-12,ミュウツーの逆襲 EVOLUTION,Pokémon the Movie: Mewtwo Strikes Back - Evolution
668482,2022-11-25,Roald Dahl's Matilda the Musical,Roald Dahl's Matilda the Musical
1644,1993-02-05,The Vanishing,The Vanishing
257088,2015-12-03,Point Break,Point Break
5503,1993-08-06,The Fugitive,The Fugitive
9291,2005-05-27,The Longest Yard,The Longest Yard
11358,2004-04-02,Walking Tall,Walking Tall
124905,2014-05-14,Godzilla,Godzilla
7552,2005-12-21,Fun with Dick and Jane,Fun with Dick and Jane
1636,2000-10-19,Bedazzled,Bedazzled
818397,2022-04-28,Memory,Memory
6114,1992-11-13,Bram Stoker's Dracula,Bram Stoker's Dracula
9373,2003-05-21,The Texas Chainsaw Massacre,The Texas Chainsaw Massacre
333484,2016-09-14,The Magnificent Seven,The Magnificent Seven
331482,2019-12-25,Little Women,Little Women
338970,2018-03-05,Tomb Raider,Tomb Raider
63,1995-12-29,Twelve Monkeys,Twelve Monkeys
332562,2018-10-03,A Star Is Born,A Star Is Born
27582,2011-01-13,The Mechanic,The Mechanic
254,2005-12-12,King Kong,King Kong
9426,1986-08-15,The Fly,The Fly
505026,2022-02-09,Death on the Nile,Death on the Nile
440472,2019-01-10,The Upside,The Upside
9378,2001-10-26,Thir13en Ghosts,Thir13en Ghosts
366672,2022-07-14,Paws of Fury: The Legend of Hank,Paws of Fury: The Legend of Hank
14254,2009-01-30,The Uninvited,The Uninvited
65086,2012-02-03,The Woman in Black,The Woman in Black
347626,2021-08-27,He's All That,He's All That
243688,2015-05-20,Poltergeist,Poltergeist
7978,2010-02-10,The Wolfman,The Wolfman
812037,2023-09-13,L'été dernier,Last Summer
9792,2006-03-10,The Hills Have Eyes,The Hills Have Eyes
9509,2004-04-23,Man on Fire,Man on Fire
265208,2015-01-14,Wild Card,Wild Card
14784,2008-01-03,The Fall,The Fall
12700,2005-05-20,Dominion: Prequel to The Exorcist,Dominion: Prequel to The Exorcist
1598,1991-11-13,Cape Fear,Cape Fear
966,1960-10-12,The Magnificent Seven,The Magnificent Seven
10885,2008-03-21,Shutter,Shutter
3036,1994-11-04,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein
375794,2016-09-02,No Manches Frida,No Manches Frida
420808,2023-04-20,Peter Pan & Wendy,Peter Pan & Wendy
433498,2017-09-07,Papillon,Papillon
28512,2005-11-20,The Poseidon Adventure,The Poseidon Adventure
46261,2010-11-06,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark
795,1998-04-10,City of Angels,City of Angels
18405,2009-03-13,The Last House on the Left,The Last House on the Left
14435,2009-01-16,My Bloody Valentine,My Bloody Valentine
11859,1995-11-03,Fair Game,Fair Game
218043,2014-10-03,Left Behind,Left Behind
392044,2017-11-03,Murder on the Orient Express,Murder on the Orient Express
15137,2007-09-01,ヱヴァンゲリヲン新劇場版：序,Evangelion: 1.0 You Are (Not) Alone
654739,2021-06-23,발신제한,Hard Hit
329996,2019-03-27,Dumbo,Dumbo
551808,2019-12-11,Black Christmas,Black Christmas
10066,2005-05-05,House of Wax,House of Wax
8970,1999-04-02,The Out-of-Towners,The Out-of-Towners
2976,2007-07-19,Hairspray,Hairspray
668742,2020-07-29,Padre no hay más que uno 2: la llegada de la suegra,Father There Is Only One 2
28211,2010-02-25,Chloe,Chloe
361292,2018-10-26,Suspiria,Suspiria
810171,2022-05-11,The Valet,The Valet
1090,1999-04-16,The Thirteenth Floor,The Thirteenth Floor
97020,2014-01-30,RoboCop,RoboCop
338947,2022-09-28,Hellraiser,Hellraiser
271969,2016-08-17,Ben-Hur,Ben-Hur
31608,1989-01-27,Three Fugitives,Three Fugitives
11352,1989-12-22,Always,Always
146239,2013-10-10,Delivery Man,Delivery Man
9038,2007-10-05,The Heartbreak Kid,The Heartbreak Kid
133805,2013-10-16,Carrie,Carrie
9313,1998-03-12,The Man in the Iron Mask,The Man in the Iron Mask
10510,1994-11-18,Miracle on 34th Street,Miracle on 34th Street
830764,2023-09-23,Pet Sematary: Bloodlines,Pet Sematary: Bloodlines
4858,2007-08-17,The Invasion,The Invasion
12185,1978-06-28,Heaven Can Wait,Heaven Can Wait
755437,2021-12-17,Mamá o papá,You Keep the Kids
9030,2008-02-01,The Eye,The Eye
121518,1988-05-20,I Saw What You Did,I Saw What You Did
433251,2017-08-11,Naked,Naked
661231,2022-04-01,Operation Mincemeat,Operation Mincemeat
395990,2018-03-02,Death Wish,Death Wish
10141,1988-12-14,Dirty Rotten Scoundrels,Dirty Rotten Scoundrels
37430,2011-08-17,Conan the Barbarian,Conan the Barbarian
23437,2010-04-30,A Nightmare on Elm Street,A Nightmare on Elm Street
16007,2006-06-17,デスノート,Death Note
638240,2019-12-25,Miracle in Cell No. 7,Miracle in Cell No. 7
11377,1999-10-29,House on Haunted Hill,House on Haunted Hill
792678,2021-10-22,CUBE 一度入ったら、最後,Cube
791,2005-10-14,The Fog,The Fog
34803,2010-04-15,Death at a Funeral,Death at a Funeral
44147,2010-06-17,Wild Target,Wild Target
13515,2008-08-15,Mirrors,Mirrors
9833,2004-12-08,The Phantom of the Opera,The Phantom of the Opera
5516,2004-03-25,The Ladykillers,The Ladykillers
760099,2022-11-04,Living,Living
