id,release_date,original_title,title,collection,collection_id,budget,revenue,runtime,popularity,vote_average,vote_count,adult,belongs_to_collection,genres,production_companies,spoken_languages,status,tagline,overview,imdb_id,production_countries,original_language
181812,2019-12-18,Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,Star Wars Collection,10,416000000,1074144248,142,50.56,6.3,9898,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The saga will end. The story lives forever.,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",tt2527338,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
181808,2017-12-13,Star Wars: The Last Jedi,Star Wars: The Last Jedi,Star Wars Collection,10,200000000,1332698830,152,57.693,6.8,15269,False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Darkness rises...and light to meet it.,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",tt2527336,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
812,1992-11-25,Aladdin,Aladdin,Aladdin Collection,86027,28000000,504050219,95,61.561,7.7,11234,False,"{'id': 86027, 'name': 'Aladdin Collection', 'poster_path': '/9jAbtLbAbebtuF5q1gZIPUCuegd.jpg', 'backdrop_path': '/kUHyN9PzQ59e2n3CwqMG99yxBvh.jpg'}","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 171656, 'logo_path': '/4UBohOtIr9DtxylH48Qsg6aDow6.png', 'name': 'Walt Disney Feature Animation', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Imagine if you had three wishes, three hopes, three dreams and they all could come true.","In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.",tt0103639,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
15969,1994-05-20,The Return of Jafar,The Return of Jafar,Aladdin Collection,86027,3500000,0,69,23.393,6.2,3335,False,"{'id': 86027, 'name': 'Aladdin Collection', 'poster_path': '/9jAbtLbAbebtuF5q1gZIPUCuegd.jpg', 'backdrop_path': '/kUHyN9PzQ59e2n3CwqMG99yxBvh.jpg'}","[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 3475, 'logo_path': '/jTPNzDEn7eHmp3nEXEEtkHm6jLg.png', 'name': 'Disney Television Animation', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Aladdin adventure continues...,"The evil Jafar escapes from the magic lamp as an all-powerful genie, ready to plot his revenge against Aladdin. From battling elusive villains atop winged horses, to dodging flames inside an exploding lava pit, it's up to Aladdin - with Princess Jasmine and the outrageously funny Genie by his side - to save the kingdom once and for all.",tt0107952,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
11238,1996-05-20,Aladdin and the King of Thieves,Aladdin and the King of Thieves,Aladdin Collection,86027,0,0,81,24.366,6.3,1852,False,"{'id': 86027, 'name': 'Aladdin Collection', 'poster_path': '/9jAbtLbAbebtuF5q1gZIPUCuegd.jpg', 'backdrop_path': '/kUHyN9PzQ59e2n3CwqMG99yxBvh.jpg'}","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]","[{'id': 3475, 'logo_path': '/jTPNzDEn7eHmp3nEXEEtkHm6jLg.png', 'name': 'Disney Television Animation', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Spectacular Adventure Continues!,"Legendary secrets are revealed as Aladdin and his friends—Jasmine, Abu, Carpet and, of course, the always entertaining Genie—face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.",tt0115491,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
51540,2011-07-08,Horrible Bosses,Horrible Bosses,Horrible Bosses Collection,280588,35000000,209838559,98,19.219,6.6,6313,False,"{'id': 280588, 'name': 'Horrible Bosses Collection', 'poster_path': '/zU3dVVBa3JW1nQVUsaFM0BeTnK.jpg', 'backdrop_path': '/kGvdIEuzy0rHnbIJ0qmnIjRGSKW.jpg'}","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 12007, 'logo_path': None, 'name': 'RAT Entertainment', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Ever wish your boss was dead?,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",tt1499658,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
227159,2014-11-12,Horrible Bosses 2,Horrible Bosses 2,Horrible Bosses Collection,280588,42000000,107645357,108,33.42,6.187,4103,False,"{'id': 280588, 'name': 'Horrible Bosses Collection', 'poster_path': '/zU3dVVBa3JW1nQVUsaFM0BeTnK.jpg', 'backdrop_path': '/kGvdIEuzy0rHnbIJ0qmnIjRGSKW.jpg'}","[{'id': 35, 'name': 'Comedy'}]","[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 6363, 'logo_path': None, 'name': 'BenderSpink', 'origin_country': 'US'}, {'id': 41624, 'logo_path': '/wzKxIeQKlMP0y5CaAw25MD6EQmf.png', 'name': 'RatPac Entertainment', 'origin_country': 'US'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,New crime. Same tools.,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",tt2170439,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",en
208763,2014-01-30,Вий,Forbidden Empire,Viy Collection,428046,26000000,34592118,128,12.353,5.869,309,False,"{'id': 428046, 'name': 'Viy Collection', 'poster_path': '/dmD4XTOKkWNgnsO4KQ1tMnzVhlU.jpg', 'backdrop_path': '/8gP1w2ls7Orr0lGM3XHxha88YEn.jpg'}","[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 74107, 'logo_path': '/bzWURboFPnv8EfXIfnxILVOMyGC.png', 'name': 'Russian Film Group', 'origin_country': 'RU'}, {'id': 135340, 'logo_path': None, 'name': 'Marinsgroup', 'origin_country': ''}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,The truth is in you,"Early 18th century. Cartographer Jonathan Green undertakes a scientific voyage from Europe to the East. Having passed through Transylvania and crossed the Carpathian Mountains, he finds himself in a small village lost in impassible woods. Nothing but chance and heavy fog could bring him to this cursed place. People who live here do not resemble any other people which the traveler saw before that. The villagers, having dug a deep moat to fend themselves from the rest of the world, share a naive belief that they could save themselves from evil, failing to understand that evil has made its nest in their souls and is waiting for an opportunity to gush out upon the world.",tt1224378,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'RU', 'name': 'Russia'}, {'iso_3166_1': 'UA', 'name': 'Ukraine'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",ru
428045,2019-08-16,Тайна печати Дракона,Iron Mask,Viy Collection,428046,49000000,8685794,121,20.736,6.134,463,False,"{'id': 428046, 'name': 'Viy Collection', 'poster_path': '/dmD4XTOKkWNgnsO4KQ1tMnzVhlU.jpg', 'backdrop_path': '/8gP1w2ls7Orr0lGM3XHxha88YEn.jpg'}","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 318, 'logo_path': '/q0UG4oZERwIywJdDPF4lRlvdYGW.png', 'name': 'CTB Film Company', 'origin_country': 'RU'}, {'id': 74107, 'logo_path': '/bzWURboFPnv8EfXIfnxILVOMyGC.png', 'name': 'Russian Film Group', 'origin_country': 'RU'}, {'id': 14714, 'logo_path': '/dSHaVKtBCpMU5VP9wMbTkqov62i.png', 'name': 'China Film Group Corporation', 'origin_country': 'CN'}, {'id': 130900, 'logo_path': None, 'name': 'Buffalo 8 Productions', 'origin_country': 'US'}, {'id': 136871, 'logo_path': None, 'name': 'China International Picture', 'origin_country': ''}, {'id': 90658, 'logo_path': None, 'name': 'Fetisoff Illusion', 'origin_country': ''}, {'id': 136872, 'logo_path': None, 'name': 'GFA Entertainment', 'origin_country': ''}, {'id': 136873, 'logo_path': None, 'name': 'Gap Financing', 'origin_country': ''}, {'id': 136874, 'logo_path': None, 'name': 'Lime Studios', 'origin_country': ''}, {'id': 136875, 'logo_path': None, 'name': 'Sparkle Roll Media', 'origin_country': ''}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,"Commissioned to map the Far East territories of the Russian Empire, cartographer Jonathan Green sets off on a long journey of unbelievable adventures—making breath-taking discoveries and meeting mysterious creatures, Chinese princesses, deadly masters of oriental martial arts, and even the King of Dragons.",tt6218010,"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'RU', 'name': 'Russia'}]",ru
576788,,На пороге бессмертия: Путешествие в Индию,Viy 3: Travel to India,Viy Collection,428046,27000000,0,121,2.169,0.0,0,False,"{'id': 428046, 'name': 'Viy Collection', 'poster_path': '/dmD4XTOKkWNgnsO4KQ1tMnzVhlU.jpg', 'backdrop_path': '/8gP1w2ls7Orr0lGM3XHxha88YEn.jpg'}","[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]","[{'id': 76049, 'logo_path': '/tam9pIV4QK1ZPwdxBgtVkK1WTYC.png', 'name': 'Cinema Foundation of Russia', 'origin_country': 'RU'}, {'id': 74107, 'logo_path': '/bzWURboFPnv8EfXIfnxILVOMyGC.png', 'name': 'Russian Film Group', 'origin_country': 'RU'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",In Production,,"Jonathan Green with his beloved Miss Dudley, accompanied by Russian sailors, arrives to the shores of India. They expect to board an English ship bound for London. But in India, Green receives a mysterious invitation from the mysterious and very wealthy Indian Vaibhava Singh, a meeting with whom will turn for Jonathan into new trials, adventures and confrontation with zombie army. To unravel the ancient legend, the famous traveler, cartographer and inventor Jonathan Green will have to overcome many obstacles, save his beloved from the darkness of ancient India's dungeons, face the wild fauna and fight the mystical forces of an insidious monster. And all this takes place against the backdrop of magical landscapes and colorful architecture of a mysterious country.",tt13688166,"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'RU', 'name': 'Russia'}]",ru
11315,1999-11-27,DEAD OR ALIVE 犯罪者,Dead or Alive,Dead or Alive Collection,192532,4615,0,105,8.366,6.363,157,False,"{'id': 192532, 'name': 'Dead or Alive Collection', 'poster_path': '/hh7mpirp3imQWBqU66jj9fPAoWW.jpg', 'backdrop_path': '/8pnIDTXjw71wUdbiUVZLAhRcqxj.jpg'}","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","[{'id': 9221, 'logo_path': '/7hEAueutGnsQUyUGnp5zQ1YmCrO.png', 'name': 'Toei Video Company', 'origin_country': 'JP'}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,A daring exercise in ultra-violent extremes.,Ryūichi and his small gang of Triad vie for control of the Japanese underworld in a crime-ridden Shinjuku quarter while Detective Jojima tries to bring it down.,tt0221111,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
13899,2000-12-02,DEAD OR ALIVE 2 逃亡者,Dead or Alive 2: Birds,Dead or Alive Collection,192532,0,0,97,8.908,6.819,94,False,"{'id': 192532, 'name': 'Dead or Alive Collection', 'poster_path': '/hh7mpirp3imQWBqU66jj9fPAoWW.jpg', 'backdrop_path': '/8pnIDTXjw71wUdbiUVZLAhRcqxj.jpg'}","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 9221, 'logo_path': '/7hEAueutGnsQUyUGnp5zQ1YmCrO.png', 'name': 'Toei Video Company', 'origin_country': 'JP'}, {'id': 9222, 'logo_path': None, 'name': 'Excellent Film', 'origin_country': ''}, {'id': 880, 'logo_path': '/vwhPRAZ4lhUtSuaifk4Au2MIm92.png', 'name': 'Daiei Film', 'origin_country': 'JP'}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Two contract killers cross paths in the middle of the same job and realize they are childhood friends. Together they take a break from killing and visit the small island they once called home. After reflecting on their past lives they decided to team up and use their talents in killing for good... much to the upset of the crime syndicates.,tt0285005,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
36222,2002-01-12,DEAD OR ALIVE FINAL,Dead or Alive: Final,Dead or Alive Collection,192532,0,0,89,4.74,5.641,64,False,"{'id': 192532, 'name': 'Dead or Alive Collection', 'poster_path': '/hh7mpirp3imQWBqU66jj9fPAoWW.jpg', 'backdrop_path': '/8pnIDTXjw71wUdbiUVZLAhRcqxj.jpg'}","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}]","[{'id': 9222, 'logo_path': None, 'name': 'Excellent Film', 'origin_country': ''}, {'id': 9221, 'logo_path': '/7hEAueutGnsQUyUGnp5zQ1YmCrO.png', 'name': 'Toei Video Company', 'origin_country': 'JP'}, {'id': 880, 'logo_path': '/vwhPRAZ4lhUtSuaifk4Au2MIm92.png', 'name': 'Daiei Film', 'origin_country': 'JP'}]","[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,"Set in a post apocalyptic Yokohama where the population is kept under rigid control by a homosexual megalomaniac mayor. The citizens are administered drugs to suppress heterosexual urges. Officer Takeshi Honda is a hard boiled cop enforcing the mayor's agenda, and Ryō is a mellowed out drifter that hooks up with a gang of rebels. When the gang kidnap Takeshi's son, it begins a series of events leading to an inevitable showdown.",tt0301167,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",ja
