,Unnamed: 0,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
507,507,938504,1976-09-19,วัยอลวน,Wai Onlawon,Wai Onlawon,938511,2640496.0
508,508,938505,1977-05-27,รักอุตลุด,Rak Ootalood,Wai Onlawon,938511,
509,509,938506,1978-08-21,ชื่นชุลมุน,Chuen Choolamoon,Wai Onlawon,938511,
510,510,360158,2005-07-28,วัยอลวน 4: ตั้ม-โอ๋ รีเทิร์น,Oops! There's Dad,Wai Onlawon,938511,3382.0
511,511,894091,2021-04-12,วัยอลวน 5 ตั้ม-โอ๋ ตัวตึง,Couples in Trouble,Wai Onlawon,938511,20332464.0
512,512,10065,2005-04-14,The Amityville Horror,The Amityville Horror,The Amityville Collection,397842,1789996.0
513,513,11449,1979-07-27,The Amityville Horror,The Amityville Horror,The Amityville Collection,397842,3954917.0
514,514,55377,1989-05-12,Amityville: The Evil Escapes,Amityville: The Evil Escapes,The Amityville Collection,397842,6562692.0
515,515,27214,1983-11-18,Amityville 3-D,Amityville 3-D,The Amityville Collection,397842,6562375.0
516,516,16235,1982-09-24,Amityville II: The Possession,Amityville II: The Possession,The Amityville Collection,397842,2140002.0
517,517,41848,1990-05-07,The Amityville Curse,The Amityville Curse,The Amityville Collection,397842,6562947.0
518,518,41671,1992-07-16,Amityville 1992: It's About Time,Amityville 1992: It's About Time,The Amityville Collection,397842,6563151.0
519,519,33519,1993-09-29,Amityville: A New Generation,Amityville: A New Generation,The Amityville Collection,397842,6563355.0
520,520,52263,1996-10-02,Amityville: Dollhouse,Amityville: Dollhouse,The Amityville Collection,397842,6563473.0
521,521,203835,2017-06-30,Amityville: The Awakening,Amityville: The Awakening,The Amityville Collection,397842,39562016.0
522,522,215405,1993-10-27,Magic Kid,Magic Kid,Magic Kid Collection,397848,21450270.0
523,523,150154,1994-12-07,Magic Kid II,Magic Kid II,Magic Kid Collection,397848,4252980.0
524,524,229594,1994-11-14,A Dangerous Place,A Dangerous Place,Magic Kid Collection,397848,8777894.0
525,525,10823,1984-03-09,Children of the Corn,Children of the Corn,Children of the Corn Collection,115225,26946311.0
526,526,70575,2011-08-30,Children of the Corn: Genesis,Children of the Corn: Genesis,Children of the Corn Collection,115225,35618599.0
527,527,25752,1999-10-19,Children of the Corn 666: Isaac's Return,Children of the Corn 666: Isaac's Return,Children of the Corn Collection,115225,6073447.0
528,528,25748,1992-01-29,Children of the Corn II: The Final Sacrifice,Children of the Corn II: The Final Sacrifice,Children of the Corn Collection,115225,2821897.0
529,529,25749,1995-09-12,Children of the Corn III: Urban Harvest,Children of the Corn III: Urban Harvest,Children of the Corn Collection,115225,2826307.0
530,530,25750,1996-10-08,Children of the Corn IV: The Gathering,Children of the Corn IV: The Gathering,Children of the Corn Collection,115225,3051597.0
531,531,25751,1998-06-21,Children of the Corn V: Fields of Terror,Children of the Corn V: Fields of Terror,Children of the Corn Collection,115225,6044779.0
532,532,25753,2001-10-09,Children of the Corn: Revelation,Children of the Corn: Revelation,Children of the Corn Collection,115225,6073527.0
533,533,21786,2006-10-13,Fritt vilt,Cold Prey,Cold Prey Collection,86553,7742723.0
534,534,15440,2008-10-09,Fritt vilt ll,Cold Prey II,Cold Prey Collection,86553,7742723.0
535,535,56937,2010-10-15,Fritt vilt III,Cold Prey III,Cold Prey Collection,86553,25310492.0
536,536,66661,1997-01-01,Operation Delta Force,Operation Delta Force,Operation Delta Force Collections,954909,29630881.0
537,537,63264,1998-04-10,Operation Delta Force 2: Mayday,Operation Delta Force 2: Mayday,Operation Delta Force Collections,954909,29630881.0
538,538,101180,1998-11-23,Operation Delta Force 3: Clear Target,Operation Delta Force 3: Clear Target,Operation Delta Force Collections,954909,29630881.0
539,539,116213,1999-12-09,Operation Delta Force 4: Deep Fault,Operation Delta Force 4: Deep Fault,Operation Delta Force Collections,954909,29630881.0
540,540,95251,2000-01-19,Operation Delta Force 5: Random Fire,Operation Delta Force V: Random Fire,Operation Delta Force Collections,954909,47271275.0
541,541,10134,1989-04-07,Cyborg,Cyborg,Cyborg Collection,98853,2513630.0
542,542,16437,1993-11-24,Cyborg 2,Cyborg 2,Cyborg Collection,98853,4343377.0
543,543,25391,1995-12-19,Cyborg 3: The Recycler,Cyborg 3: The Recycler,Cyborg Collection,98853,7856247.0
544,544,4232,1996-12-20,Scream,Scream,Scream Collection,2602,113549.0
545,545,4233,1997-12-12,Scream 2,Scream 2,Scream Collection,2602,600320.0
546,546,4234,2000-02-04,Scream 3,Scream 3,Scream Collection,2602,600351.0
547,547,41446,2011-04-13,Scream 4,Scream 4,Scream Collection,2602,19787914.0
548,548,646385,2022-01-12,Scream,Scream,Scream Collection,2602,31716869.0
549,549,934433,2023-03-08,Scream VI,Scream VI,Scream Collection,2602,69998370.0
550,550,1159559,2026-02-25,Scream 7,Scream 7,Scream Collection,2602,69998370.0
551,551,38700,2020-01-15,Bad Boys for Life,Bad Boys for Life,Bad Boys Collection,14890,58635027.0
552,552,9737,1995-04-07,Bad Boys,Bad Boys,Bad Boys Collection,14890,673613.0
553,553,8961,2003-07-18,Bad Boys II,Bad Boys II,Bad Boys Collection,14890,1037237.0
554,554,573435,2024-06-05,Bad Boys: Ride or Die,Bad Boys: Ride or Die,Bad Boys Collection,14890,72913635.0
555,555,557,2002-05-01,Spider-Man,Spider-Man,Spider-Man Collection,556,146947.0
556,556,558,2004-06-25,Spider-Man 2,Spider-Man 2,Spider-Man Collection,556,612052.0
557,557,559,2007-05-01,Spider-Man 3,Spider-Man 3,Spider-Man Collection,556,702117.0
558,558,23535,1990-04-01,Class of 1999,Class of 1999,Class of 1999 Collection,164397,19671399.0
559,559,61954,1994-03-29,Class of 1999 II: The Substitute,Class of 1999 II: The Substitute,Class of 1999 Collection,164397,19672025.0
560,560,11564,1982-08-20,Class of 1984,Class of 1984,Class of 1999 Collection,164397,5550520.0
561,561,41628,2004-11-10,Max Havoc: Curse Of The Dragon,Max Havoc: Curse Of The Dragon,Max Havoc Collection,870961,5042018.0
562,562,60368,2006-07-28,Max Havoc - Ring of Fire,Max Havoc - Ring of Fire,Max Havoc Collection,870961,36182533.0
563,563,1690,2005-09-17,Hostel,Hostel,Hostel Collection,86578,2331662.0
564,564,1691,2007-06-07,Hostel: Part II,Hostel: Part II,Hostel Collection,86578,4572965.0
565,565,71670,2011-12-22,Hostel: Part III,Hostel: Part III,Hostel Collection,86578,26720310.0
566,566,27712,2002-01-08,Killjoy 2: Deliverance from Evil,Killjoy 2: Deliverance from Evil,Killjoy Collection,416305,23617312.0
567,567,61716,2010-12-14,Killjoy 3,Killjoy 3,Killjoy Collection,416305,36943487.0
568,568,134756,2012-10-09,Killjoy Goes to Hell,Killjoy Goes to Hell,Killjoy Collection,416305,36943541.0
569,569,27711,2000-10-24,Killjoy,Killjoy,Killjoy Collection,416305,15161056.0
570,570,422514,2016-10-30,Killjoy's Psycho Circus,Killjoy's Psycho Circus,Killjoy Collection,416305,31767008.0
571,571,132465,1993-05-05,Money,Money,Money - Telugu Movie Collection,410166,25495137.0
572,572,403401,1995-06-23,Money Money,Money Money,Money - Telugu Movie Collection,410166,31616595.0
573,573,137364,2011-08-26,మనీ మనీ మోర్ మనీ,Money Money More Money,Money - Telugu Movie Collection,410166,71941988.0
574,574,115693,1987-09-19,El Lute: camina o revienta,Lute: Forge On or Die,El Lute Collection,320059,7532188.0
575,575,115695,1988-04-20,El Lute II: mañana seré libre,El Lute II: Tomorrow I'll Be Free,El Lute Collection,320059,16056205.0
576,576,98596,1983-09-04,El pico,Overdose,El pico - Colección,320064,179340.0
577,577,99760,1984-11-09,El pico 2,El Pico 2,El pico - Colección,320064,47733200.0
578,578,65497,1990-10-01,Martial Law,Martial Law,Martial Law Collection,318037,18791040.0
579,579,61802,1991-10-01,Martial Law II: Undercover,Martial Law II: Undercover,Martial Law Collection,318037,18791040.0
580,580,89340,1992-12-02,Mission of Justice,Mission of Justice,Martial Law Collection,318037,78289908.0
581,581,175682,1993-11-16,Martial Outlaw,Martial Outlaw,Martial Law Collection,318037,18792012.0
582,582,1871,1964-11-04,Fantômas,Fantomas,Fantomas Collection,103001,9764248.0
583,583,1870,1965-12-08,Fantômas se déchaîne,Fantomas Unleashed,Fantomas Collection,103001,9764956.0
584,584,1875,1967-03-16,Fantômas contre Scotland Yard,Fantomas vs. Scotland Yard,Fantomas Collection,103001,9765304.0
585,585,27769,1991-05-07,Sometimes They Come Back,Sometimes They Come Back,Sometimes They Come Back Collection,168545,8809291.0
586,586,27770,1996-09-03,Sometimes They Come Back... Again,Sometimes They Come Back... Again,Sometimes They Come Back Collection,168545,1961602.0
587,587,27771,1998-11-01,Sometimes They Come Back... for More,Sometimes They Come Back... for More,Sometimes They Come Back Collection,168545,8809291.0
588,588,73604,1968-12-15,Greetings,Greetings,Greetings Collection,838244,1855432.0
589,589,42589,1970-04-27,"Hi, Mom!","Hi, Mom!",Greetings Collection,838244,1822077.0
590,590,10865,2001-06-02,Atlantis: The Lost Empire,Atlantis: The Lost Empire,Atlantis Collection,100965,367085.0
591,591,8965,2003-02-25,Atlantis: Milo's Return,Atlantis: Milo's Return,Atlantis Collection,100965,1090927.0
592,592,11846,1991-12-20,Father of the Bride,Father of the Bride,Father of the Bride (Steve Martin) Collection,96871,773089.0
593,593,11862,1995-12-08,Father of the Bride Part II,Father of the Bride Part II,Father of the Bride (Steve Martin) Collection,96871,3303622.0
594,594,179631,1981-01-31,魔劍俠情,Return of the Sentimental Swordsman,The Sentimental Swordsman Collection,385639,10988542.0
595,595,149961,1977-10-14,多情劍客無情劍,The Sentimental Swordsman,The Sentimental Swordsman Collection,385639,10988542.0
596,596,37749,1977-10-19,Looking for Mr. Goodbar,Looking for Mr. Goodbar,The Goodbar Collection,930413,16037718.0
597,597,486549,1983-10-15,Trackdown: Finding the Goodbar Killer,Trackdown: Finding the Goodbar Killer,The Goodbar Collection,930413,48692021.0
598,598,118255,1965-12-14,Life at the Top,Life at the Top,At The Top Collection,633455,7813879.0
599,599,43103,1958-12-29,Room at the Top,Room at the Top,At The Top Collection,633455,5074911.0
600,600,339430,1996-12-27,Tresko - Der Maulwurf,Tresko - Der Maulwurf,Tresko Filmreihe,991856,44391311.0
601,601,339431,1996-12-29,Tresko - Im Visier der Drogenmafia,Tresko - Im Visier der Drogenmafia,Tresko Filmreihe,991856,
602,602,295608,1996-12-30,Tresko – Amigo Affäre,Tresko – Amigo Affäre,Tresko Filmreihe,991856,65228905.0
603,603,161017,1979-02-15,茅山殭屍拳,The Shadow Boxing,The Spiritual Boxer Collection,385650,56972591.0
604,604,104606,1975-11-28,神打,The Spiritual Boxer,The Spiritual Boxer Collection,385650,78260518.0
605,605,11319,1977-06-22,The Rescuers,The Rescuers,The Rescuers Collection,57971,201448.0
606,606,11135,1990-11-16,The Rescuers Down Under,The Rescuers Down Under,The Rescuers Collection,57971,238004.0
607,607,11077,1990-07-27,Problem Child,Problem Child,Problem Child Collection,180854,304725.0
608,608,28601,1995-05-13,Problem Child 3,Problem Child 3,Problem Child Collection,180854,304725.0
609,609,28597,1991-07-03,Problem Child 2,Problem Child 2,Problem Child Collection,180854,685931.0
610,610,21410,1966-05-03,座頭市の歌が聞える,Zatoichi's Vengeance,Zatoichi: The Blind Swordsman Collection,96887,42618772.0
611,611,16692,1962-04-18,座頭市物語,The Tale of Zatoichi,Zatoichi: The Blind Swordsman Collection,96887,24427416.0
612,612,18511,1963-08-09,座頭市兇状旅,Zatoichi the Fugitive,Zatoichi: The Blind Swordsman Collection,96887,25061132.0
613,613,16693,1962-10-12,続・座頭市物語,The Tale of Zatoichi Continues,Zatoichi: The Blind Swordsman Collection,96887,25859284.0
614,614,18624,1963-11-30,座頭市喧嘩旅,Zatoichi on the Road,Zatoichi: The Blind Swordsman Collection,96887,25135245.0
615,615,40897,1964-03-14,座頭市千両首,Zatoichi and the Chest of Gold,Zatoichi: The Blind Swordsman Collection,96887,41533481.0
616,616,54265,1964-07-11,座頭市あばれ凧,Zatoichi's Flashing Sword,Zatoichi: The Blind Swordsman Collection,96887,41605904.0
617,617,54266,1964-11-17,座頭市血笑旅,"Fight, Zatoichi, Fight",Zatoichi: The Blind Swordsman Collection,96887,635382.0
618,618,54275,1965-12-24,座頭市地獄旅,Zatoichi and the Chess Expert,Zatoichi: The Blind Swordsman Collection,96887,42610315.0
619,619,54276,1966-08-12,座頭市海を渡る,Zatoichi's Pilgrimage,Zatoichi: The Blind Swordsman Collection,96887,42630239.0
620,620,54279,1967-12-30,座頭市血煙り街道,Zatoichi Challenged,Zatoichi: The Blind Swordsman Collection,96887,42673827.0
621,621,18510,1963-03-15,新・座頭市物語,New Tale of Zatoichi,Zatoichi: The Blind Swordsman Collection,96887,31931578.0
622,622,54272,1964-12-30,座頭市関所破り,Adventures of Zatoichi,Zatoichi: The Blind Swordsman Collection,96887,41872689.0
623,623,54274,1965-09-18,座頭市逆手斬り,Zatoichi and the Doomed Man,Zatoichi: The Blind Swordsman Collection,96887,42582906.0
624,624,54278,1967-08-12,座頭市牢破り,Zatoichi the Outlaw,Zatoichi: The Blind Swordsman Collection,96887,635382.0
625,625,54277,1967-01-03,座頭市鉄火旅,Zatoichi's Cane Sword,Zatoichi: The Blind Swordsman Collection,96887,42638034.0
626,626,42601,1970-01-15,座頭市と用心棒,Zatoichi Meets Yojimbo,Zatoichi: The Blind Swordsman Collection,96887,7399130.0
627,627,54283,1970-08-12,座頭市あばれ火祭り,Zatoichi Goes to the Fire Festival,Zatoichi: The Blind Swordsman Collection,96887,48516564.0
628,628,24444,1971-01-13,新座頭市　破れ！唐人剣,Zatoichi Meets the One-Armed Swordsman,Zatoichi: The Blind Swordsman Collection,96887,33849474.0
629,629,54284,1972-01-15,座頭市御用旅,Zatoichi at Large,Zatoichi: The Blind Swordsman Collection,96887,635382.0
630,630,54306,1972-09-02,新座頭市物語・折れた杖,Zatoichi in Desperation,Zatoichi: The Blind Swordsman Collection,96887,635382.0
631,631,54307,1973-04-21,新座頭市物語・笠間の血祭り,Zatoichi's Conspiracy,Zatoichi: The Blind Swordsman Collection,96887,635382.0
632,632,54280,1968-08-10,座頭市果し状,Zatoichi and the Fugitives,Zatoichi: The Blind Swordsman Collection,96887,42790230.0
633,633,54273,1965-04-03,座頭市二段斬り,Zatoichi's Revenge,Zatoichi: The Blind Swordsman Collection,96887,42565151.0
634,634,54281,1968-12-28,座頭市喧嘩太鼓,Samaritan Zatoichi,Zatoichi: The Blind Swordsman Collection,96887,635382.0
635,635,40644,1989-02-04,座頭市,Zatoichi: Darkness Is His Ally,Zatoichi: The Blind Swordsman Collection,96887,635382.0
636,636,58188,1968-10-24,Il medico della mutua,Be Sick… It's Free,Il medico della mutua Collection,445049,18793710.0
637,637,82372,1969-12-19,Il Prof. Dott. Guido Tersilli primario della Clinica Villa Celeste convenzionata con la Mutua,Medicine Italian Style,Il medico della mutua Collection,445049,29177.0
638,638,17529,1969-06-11,True Grit,True Grit,Rooster Cogburn Collection,584320,161912.0
639,639,17538,1975-11-01,Rooster Cogburn,Rooster Cogburn,Rooster Cogburn Collection,584320,1598127.0
640,640,108807,1978-05-19,True Grit: A Further Adventure,True Grit: A Further Adventure,Rooster Cogburn Collection,584320,11540062.0
641,641,90342,1968-09-21,Joe... cercati un posto per morire!,Find a Place to Die,Ringo Collection,473730,6392580.0
642,642,56431,1965-05-12,Una pistola per Ringo,A Pistol for Ringo,Ringo Collection,473730,17249476.0
643,643,63260,1965-12-08,Il ritorno di Ringo,The Return of Ringo,Ringo Collection,473730,18361148.0
644,644,253,1973-06-27,Live and Let Die,Live and Let Die,James Bond Collection,645,6446061.0
645,645,646,1962-10-07,Dr. No,Dr. No,James Bond Collection,645,6446053.0
646,646,657,1963-10-10,From Russia with Love,From Russia with Love,James Bond Collection,645,6446071.0
647,647,658,1964-09-20,Goldfinger,Goldfinger,James Bond Collection,645,6322029.0
648,648,660,1965-12-11,Thunderball,Thunderball,James Bond Collection,645,6152265.0
649,649,667,1967-06-13,You Only Live Twice,You Only Live Twice,James Bond Collection,645,5078515.0
650,650,668,1969-12-18,On Her Majesty's Secret Service,On Her Majesty's Secret Service,James Bond Collection,645,6268880.0
651,651,681,1971-12-14,Diamonds Are Forever,Diamonds Are Forever,James Bond Collection,645,157481.0
652,652,682,1974-12-04,The Man with the Golden Gun,The Man with the Golden Gun,James Bond Collection,645,6223567.0
653,653,691,1977-07-07,The Spy Who Loved Me,The Spy Who Loved Me,James Bond Collection,645,6446036.0
654,654,698,1979-06-26,Moonraker,Moonraker,James Bond Collection,645,6446062.0
655,655,699,1981-06-24,For Your Eyes Only,For Your Eyes Only,James Bond Collection,645,6446044.0
656,656,700,1983-06-05,Octopussy,Octopussy,James Bond Collection,645,541642.0
657,657,707,1985-05-24,A View to a Kill,A View to a Kill,James Bond Collection,645,583932.0
658,658,709,1989-06-13,Licence to Kill,Licence to Kill,James Bond Collection,645,449547.0
659,659,710,1995-11-16,GoldenEye,GoldenEye,James Bond Collection,645,268833.0
660,660,714,1997-12-11,Tomorrow Never Dies,Tomorrow Never Dies,James Bond Collection,645,317647.0
661,661,10764,2008-10-29,Quantum of Solace,Quantum of Solace,James Bond Collection,645,2969247.0
662,662,36557,2006-11-14,Casino Royale,Casino Royale,James Bond Collection,645,930379.0
663,663,36643,1999-11-17,The World Is Not Enough,The World Is Not Enough,James Bond Collection,645,166121.0
664,664,36669,2002-11-17,Die Another Day,Die Another Day,James Bond Collection,645,156644.0
665,665,37724,2012-10-24,Skyfall,Skyfall,James Bond Collection,645,33335392.0
666,666,206647,2015-10-26,Spectre,Spectre,James Bond Collection,645,44853982.0
667,667,708,1987-06-29,The Living Daylights,The Living Daylights,James Bond Collection,645,566713.0
668,668,370172,2021-09-29,No Time to Die,No Time to Die,James Bond Collection,645,38042908.0
669,669,36670,1983-10-07,Never Say Never Again,Never Say Never Again,James Bond Collection,645,490101.0
670,670,41428,1989-07-01,鉄男,Tetsuo: The Iron Man,Tetsuo Collection,182923,1668414.0
671,671,17991,1992-10-03,鉄男II BODY HAMMER,Tetsuo II: Body Hammer,Tetsuo Collection,182923,4241206.0
672,672,52034,2009-09-05,鉄男 THE BULLET MAN,Tetsuo: The Bullet Man,Tetsuo Collection,182923,23749531.0
673,673,120386,1978-08-17,The Stud,The Stud,Fontaine Khaled Collection,412300,4073679.0
674,674,50672,1979-09-19,The Bitch,The Bitch,Fontaine Khaled Collection,412300,4073694.0
675,675,3980,1986-04-11,Critters,Critters,Critters Collection,10893,6049256.0
676,676,10127,1988-04-29,Critters 2,Critters 2,Critters Collection,10893,2509859.0
677,677,12702,1991-12-11,Critters 3,Critters 3,Critters Collection,10893,2509881.0
678,678,12525,1992-08-20,Critters 4,Critters 4,Critters Collection,10893,2509885.0
679,679,597856,2019-07-13,Critters Attack!,Critters Attack!,Critters Collection,10893,61236475.0
680,680,6917,1987-04-21,The Gate,The Gate,The Gate Collection,340623,1010796.0
681,681,40729,1990-05-24,Gate II,Gate II,The Gate Collection,340623,14696485.0
682,682,225914,1977-09-14,Spider-Man,Spider-Man,Spider-Man (TV) Collection,225941,12466125.0
683,683,225925,1978-12-21,Spider-Man Strikes Back,Spider-Man Strikes Back,Spider-Man (TV) Collection,225941,39644531.0
684,684,225938,1981-05-09,Spider-Man: The Dragon's Challenge,Spider-Man: The Dragon's Challenge,Spider-Man (TV) Collection,225941,39645332.0
685,685,145326,1982-04-14,Las locuras de Parchís,Las locuras de Parchís,Parchís - Colección,146070,7699200.0
686,686,146060,1981-02-17,La segunda guerra de los niños,La segunda guerra de los niños,Parchís - Colección,146070,3187033.0
687,687,146054,1980-02-04,La guerra de los niños,La guerra de los niños,Parchís - Colección,146070,13623554.0
688,688,189305,1983-08-11,Parchís entra en acción,Parchís entra en acción,Parchís - Colección,146070,7699200.0
689,689,222711,1981-07-09,Los Parchís contra el inventor invisible,Parchis Against the Invisible Inventor,Parchís - Colección,146070,39315299.0
690,690,258743,1982-08-20,La magia de los Parchís,La magia de los Parchís,Parchís - Colección,146070,7699200.0
691,691,431452,1983-07-04,La gran aventura de los Parchís,La gran aventura de los Parchís,Parchís - Colección,146070,14617026.0
692,692,10345,1989-04-28,K-9,K-9,K-9 Collection,88735,1163257.0
693,693,47354,2002-07-30,K-9: P.I.,K-9: P.I.,K-9 Collection,88735,15269861.0
694,694,41586,1999-12-07,K-911,K-911,K-9 Collection,88735,2908457.0
695,695,10766,1978-06-09,Damien: Omen II,Damien: Omen II,The Omen Collection,10919,2251161.0
696,696,10768,1981-03-20,The Final Conflict,The Final Conflict,The Omen Collection,10919,2474297.0
697,697,794,1976-06-25,The Omen,The Omen,The Omen Collection,10919,186856.0
698,698,17792,1991-07-19,Omen IV: The Awakening,Omen IV: The Awakening,The Omen Collection,10919,2401502.0
699,699,437342,2024-04-03,The First Omen,The First Omen,The Omen Collection,10919,70759071.0
700,700,62328,1993-05-05,Shootfighter: Fight to the Death,Shootfighter: Fight to the Death,Shootfighter Collection,398000,10827331.0
701,701,62329,1996-08-27,Shootfighter II,Shootfighter II,Shootfighter Collection,398000,6129720.0
702,702,896,1959-05-01,অপুর সংসার,Apur Sansar,The Apu Trilogy,158391,1471772.0
703,703,897,1956-10-11,অপরাজিত,Aparajito,The Apu Trilogy,158391,1267738.0
704,704,5801,1955-08-26,পথের পাঁচালী,Pather Panchali,The Apu Trilogy,158391,669691.0
705,705,16043,2006-02-03,Tempelriddernes Skat,The Lost Treasure of the Knights Templar,Tempelriddernes skat Collection,205497,37773837.0
706,706,16045,2008-03-14,Tempelriddernes Skat III: Mysteriet om slangekronen,The Lost Treasure of the Knights Templar III: The Mystery of the Snake Crown,Tempelriddernes skat Collection,205497,474000.0
707,707,16044,2007-03-29,Tempelriddernes Skat II: Stormesterens hemmelighed,The Lost Treasure of the Knights Templar II,Tempelriddernes skat Collection,205497,16728651.0
708,708,10683,1998-10-11,Happiness,Happiness,Happiness Collection,979642,865561.0
709,709,39800,2010-04-16,Life During Wartime,Life During Wartime,Happiness Collection,979642,22486844.0
710,710,10372,1985-11-24,Ewoks: The Battle for Endor,Ewoks: The Battle for Endor,Star Wars: The Ewok Adventures Collection,133830,805354.0
711,711,1884,1984-11-25,The Ewok Adventure,The Ewok Adventure,Star Wars: The Ewok Adventures Collection,133830,804933.0
712,712,43240,1957-06-14,Tammy and the Bachelor,Tammy and the Bachelor,Tammy Collection,664273,13503537.0
713,713,62392,1961-07-26,Tammy Tell Me True,Tammy Tell Me True,Tammy Collection,664273,36146699.0
714,714,68720,1963-05-29,Tammy and the Doctor,Tammy and the Doctor,Tammy Collection,664273,36146738.0
715,715,351365,1967-05-01,Tammy and the Millionaire,Tammy and the Millionaire,Tammy Collection,664273,6221512.0
716,716,22572,1988-01-29,Hell Comes to Frogtown,Hell Comes to Frogtown,The Frogtown Collection,160468,2477211.0
717,717,96469,1992-11-03,Frogtown II,Frogtown II,The Frogtown Collection,160468,581512.0
718,718,146026,1996-03-19,Toad Warrior,Toad Warrior,The Frogtown Collection,160468,2939386.0
719,719,146037,2002-10-01,Max Hell Frog Warrior,Max Hell Frog Warrior,The Frogtown Collection,160468,2939386.0
720,720,8766,1996-03-08,Hellraiser: Bloodline,Hellraiser: Bloodline,Hellraiser Collection,8917,3745404.0
721,721,9003,1987-09-11,Hellraiser,Hellraiser,Hellraiser Collection,8917,71975.0
722,722,11246,2002-10-15,Hellraiser: Hellseeker,Hellraiser: Hellseeker,Hellraiser Collection,8917,3745465.0
723,723,11569,1992-09-11,Hellraiser III: Hell on Earth,Hellraiser III: Hell on Earth,Hellraiser Collection,8917,3745331.0
724,724,12597,2000-10-31,Hellraiser: Inferno,Hellraiser: Inferno,Hellraiser Collection,8917,3745444.0
725,725,12699,2005-09-06,Hellraiser: Hellworld,Hellraiser: Hellworld,Hellraiser Collection,8917,3745527.0
726,726,17455,2005-06-07,Hellraiser: Deader,Hellraiser: Deader,Hellraiser Collection,8917,3745507.0
727,727,9064,1988-12-23,Hellbound: Hellraiser II,Hellbound: Hellraiser II,Hellraiser Collection,8917,3745287.0
728,728,70584,2011-10-18,Hellraiser: Revelations,Hellraiser: Revelations,Hellraiser Collection,8917,29331558.0
729,729,444149,2018-02-13,Hellraiser: Judgment,Hellraiser: Judgment,Hellraiser Collection,8917,51542381.0
730,730,13225,1992-04-10,FernGully: The Last Rainforest,FernGully: The Last Rainforest,FernGully Collection,19160,2108776.0
731,731,18948,1998-03-17,FernGully 2: The Magical Rescue,FernGully 2: The Magical Rescue,FernGully Collection,19160,6439718.0
732,732,150807,1972-09-13,The Daughters of Joshua Cabe,The Daughters of Joshua Cabe,The Daughters of Joshua Cabe Collection,973547,57266995.0
733,733,252966,1975-01-28,The Daughters of Joshua Cabe Return,The Daughters of Joshua Cabe Return,The Daughters of Joshua Cabe Collection,973547,34849031.0
734,734,601540,1976-05-29,The New Daughters of Joshua Cabe,The New Daughters of Joshua Cabe,The Daughters of Joshua Cabe Collection,973547,34849031.0
735,735,176000,1992-03-01,A Woman Scorned: The Betty Broderick Story,A Woman Scorned: The Betty Broderick Story,Betty Broderick Collection,750317,58340460.0
736,736,345529,1994-10-14,"Her Final Fury: Betty Broderick, the Last Chapter","Her Final Fury: Betty Broderick, the Last Chapter",Betty Broderick Collection,750317,329722.0
737,737,252893,1969-11-11,The Spy Killer,The Spy Killer,The John Smith Collection,973550,57797054.0
738,738,252709,1970-01-13,Foreign Exchange,Foreign Exchange,The John Smith Collection,973550,28936056.0
739,739,8810,1981-12-24,Mad Max 2,Mad Max 2,Mad Max Collection,8945,262465.0
740,740,9355,1985-06-29,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome,Mad Max Collection,8945,598868.0
741,741,9659,1979-04-12,Mad Max,Mad Max,Mad Max Collection,8945,255898.0
742,742,76341,2015-05-13,Mad Max: Fury Road,Mad Max: Fury Road,Mad Max Collection,8945,36426373.0
743,743,340023,,Mad Max: The Wasteland,Mad Max: The Wasteland,Mad Max Collection,8945,24227534.0
744,744,786892,2024-05-22,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,Mad Max Collection,8945,65573514.0
745,745,609849,1916-10-02,Ultus and the Grey Lady,Ultus and the Grey Lady,Ultus Collection,723701,172502.0
746,746,603503,1916-10-01,Ultus and the Secret of the Night,Ultus and the Secret of the Night,Ultus Collection,723701,172502.0
747,747,723709,1915-12-01,Ultus - The Man from the Dead,Ultus - The Man from the Dead,Ultus Collection,723701,172502.0
748,748,2105,1999-07-09,American Pie,American Pie,American Pie Collection,2806,2580403.0
749,749,2770,2001-08-10,American Pie 2,American Pie 2,American Pie Collection,2806,241471.0
750,750,8273,2003-08-01,American Wedding,American Wedding,American Pie Collection,2806,241482.0
751,751,71552,2012-04-04,American Reunion,American Reunion,American Pie Collection,2806,31631257.0
752,752,21882,1976-08-25,Gator,Gator,Gator Collection,289531,5812847.0
753,753,4984,1973-08-06,White Lightning,White Lightning,Gator Collection,289531,5806110.0
754,754,13665,1981-07-17,Arthur,Arthur,Arthur Collection,170754,164401.0
755,755,26044,1988-07-08,Arthur 2: On the Rocks,Arthur 2: On the Rocks,Arthur Collection,170754,2780022.0
756,756,50076,1977-08-01,Confessions from a Holiday Camp,Confessions from a Holiday Camp,Confessions Collection,133891,2259783.0
757,757,33303,1974-08-16,Confessions of a Window Cleaner,Confessions of a Window Cleaner,Confessions Collection,133891,3807682.0
758,758,34905,1975-01-01,Confessions of a Pop Performer,Confessions of a Pop Performer,Confessions Collection,133891,14030712.0
759,759,33301,1976-09-01,Confessions of a Driving Instructor,Confessions of a Driving Instructor,Confessions Collection,133891,3807805.0
760,760,277392,1978-08-12,火の鳥,The Phoenix,Phoenix Collection,873220,62698267.0
