,id,release_date,original_title,title,Wikipedia movie ID
0,269509,2023-09-22,The Canterville Ghost,The Canterville Ghost,75539962
1,238,1972-03-14,The Godfather,The Godfather,2466773
2,278,1994-09-23,The Shawshank Redemption,The Shawshank Redemption,30625
3,14836,2009-02-05,Coraline,Coraline,3287436
4,916192,2022-09-09,夏へのトンネル、さよならの出口,"The Tunnel to Summer, the Exit of Goodbyes",68133059
5,671,2001-11-16,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,667361
6,122,2003-12-17,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,174251
7,937278,2022-12-28,A Man Called Otto,A Man Called Otto,69951338
8,120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,173941
9,122917,2014-12-10,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,42573309
10,674,2005-11-16,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,667372
11,438631,2021-09-15,Dune,Dune,52659577
12,198663,2014-09-10,The Maze Runner,The Maze Runner,39321668
13,872585,2023-07-19,Oppenheimer,Oppenheimer,66850554
14,808,2001-05-18,Shrek,Shrek,18717177
15,769,1990-09-12,GoodFellas,GoodFellas,64394
16,57158,2013-12-11,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,36887547
17,370172,2021-09-29,No Time to Die,No Time to Die,38042908
18,166428,2019-01-03,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,39446286
19,216015,2015-02-11,Fifty Shades of Grey,Fifty Shades of Grey,40218034
20,635910,2023-08-09,The Last Voyage of the Demeter,The Last Voyage of the Demeter,66519384
21,281957,2015-12-25,The Revenant,The Revenant,43159611
22,411,2005-12-07,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1880660
23,131631,2014-11-19,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,39526515
24,13,1994-06-23,Forrest Gump,Forrest Gump,4175458
25,550,1999-10-15,Fight Club,Fight Club,1009041
26,10625,2004-04-30,Mean Girls,Mean Girls,10565718
27,121,2002-12-18,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,173944
28,792307,2023-12-07,Poor Things,Poor Things,67063483
29,106646,2013-12-25,The Wolf of Wall Street,The Wolf of Wall Street,36196361
30,12155,2010-03-03,Alice in Wonderland,Alice in Wonderland,14482638
