id,release_date,original_title,title
216015,2015-02-11,Fifty Shades of Grey,Fifty Shades of Grey
269509,2023-09-22,The Canterville Ghost,The Canterville Ghost
438631,2021-09-15,Dune,Dune
198663,2014-09-10,The Maze Runner,The Maze Runner
872585,2023-07-19,Oppenheimer,Oppenheimer
537915,2019-04-11,After,After
10191,2010-03-18,How to Train Your Dragon,How to Train Your Dragon
916192,2022-09-09,夏へのトンネル、さよならの出口,"The Tunnel to Summer, the Exit of Goodbyes"
818647,2022-02-04,A través de mi ventana,Through My Window
166428,2019-01-03,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World
122917,2014-12-10,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies
106646,2013-12-25,The Wolf of Wall Street,The Wolf of Wall Street
1106904,2023-12-08,窓ぎわのトットちゃん,Totto-chan: The Little Girl at the Window
337167,2018-01-17,Fifty Shades Freed,Fifty Shades Freed
744275,2021-09-01,After We Fell,After We Fell
615656,2023-08-02,Meg 2: The Trench,Meg 2: The Trench
11324,2010-02-14,Shutter Island,Shutter Island
370172,2021-09-29,No Time to Die,No Time to Die
72190,2013-06-19,World War Z,World War Z
336843,2018-01-10,Maze Runner: The Death Cure,Maze Runner: The Death Cure
296096,2016-06-01,Me Before You,Me Before You
210577,2014-10-01,Gone Girl,Gone Girl
695721,2023-11-15,The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes
49051,2012-12-12,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey
341174,2017-02-08,Fifty Shades Darker,Fifty Shades Darker
467244,2023-12-15,The Zone of Interest,The Zone of Interest
262500,2015-03-18,Insurgent,Insurgent
988078,2023-06-23,A través del mar,Through My Window: Across the Sea
345940,2018-08-09,The Meg,The Meg
792307,2023-12-07,Poor Things,Poor Things
37799,2010-10-01,The Social Network,The Social Network
398818,2017-07-28,Call Me by Your Name,Call Me by Your Name
466420,2023-10-18,Killers of the Flower Moon,Killers of the Flower Moon
131631,2014-11-19,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1
744276,2022-08-24,After Ever Happy,After Ever Happy
50620,2012-11-13,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2
286217,2015-09-30,The Martian,The Martian
300671,2016-01-14,13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi
333339,2018-03-28,Ready Player One,Ready Player One
12155,2010-03-03,Alice in Wonderland,Alice in Wonderland
613504,2020-09-02,After We Collided,After We Collided
1173558,2023-10-25,O Lado Bom de Ser Traída,Burning Betrayal
57158,2013-12-11,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug
49046,2022-10-07,Im Westen nichts Neues,All Quiet on the Western Front
157350,2014-03-14,Divergent,Divergent
32657,2010-02-01,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief
290098,2016-06-01,아가씨,The Handmaiden
718930,2022-08-03,Bullet Train,Bullet Train
856289,2023-07-15,封神第一部：朝歌风云,Creation of the Gods I: Kingdom of Storms
459003,2023-03-02,Мавка: Лісова пісня,Mavka: The Forest Song
24021,2010-06-23,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse
930094,2023-07-27,"Red, White & Royal Blue","Red, White & Royal Blue"
50619,2011-11-16,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 1
619979,2022-03-18,Deep Water,Deep Water
281957,2015-12-25,The Revenant,The Revenant
474350,2019-09-04,It Chapter Two,It Chapter Two
61979,2010-12-03,Tres metros sobre el cielo,Three Steps Above Heaven
359724,2019-11-13,Ford v Ferrari,Ford v Ferrari
331482,2019-12-25,Little Women,Little Women
632856,2022-11-10,Spirited,Spirited
346364,2017-09-06,It,It
937278,2022-12-28,A Man Called Otto,A Man Called Otto
466282,2018-08-16,To All the Boys I've Loved Before,To All the Boys I've Loved Before
294254,2015-09-09,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials
77877,2012-04-19,The Lucky One,The Lucky One
137113,2014-05-27,Edge of Tomorrow,Edge of Tomorrow
190859,2014-12-25,American Sniper,American Sniper
131634,2015-11-18,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2
50014,2011-08-09,The Help,The Help
994108,2023-12-22,All of Us Strangers,All of Us Strangers
64682,2013-05-09,The Great Gatsby,The Great Gatsby
906126,2023-12-15,La sociedad de la nieve,Society of the Snow
116149,2014-11-24,Paddington,Paddington
65496,2010-01-18,Mes chères études,Student Services
82695,2012-12-18,Les Misérables,Les Misérables
726209,2023-11-22,Leave the World Behind,Leave the World Behind
10140,2010-12-02,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader
398978,2019-11-01,The Irishman,The Irishman
75780,2012-12-20,Jack Reacher,Jack Reacher
1016346,2023-08-25,মাসুদ রানা: ধ্বংস পাহাড়,MR-9: Do or Die
1016121,2023-04-04,Beautiful Disaster,Beautiful Disaster
101299,2013-11-15,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire
845659,2023-02-16,Perfect Addiction,Perfect Addiction
109689,2012-06-22,Tengo ganas de ti,I Want You
454983,2018-05-11,The Kissing Booth,The Kissing Booth
278927,2016-04-07,The Jungle Book,The Jungle Book
381289,2017-01-19,A Dog's Purpose,A Dog's Purpose
635910,2023-08-09,The Last Voyage of the Demeter,The Last Voyage of the Demeter
725201,2022-07-13,The Gray Man,The Gray Man
84892,2012-09-20,The Perks of Being a Wallflower,The Perks of Being a Wallflower
346648,2017-11-09,Paddington 2,Paddington 2
585245,2021-11-10,Clifford the Big Red Dog,Clifford the Big Red Dog
508763,2019-01-10,A Dog's Way Home,A Dog's Way Home
531219,2020-10-26,Roald Dahl's The Witches,Roald Dahl's The Witches
200727,2014-10-16,"Love, Rosie","Love, Rosie"
455207,2018-08-15,Crazy Rich Asians,Crazy Rich Asians
570670,2020-02-26,The Invisible Man,The Invisible Man
581726,2021-09-09,Infinite,Infinite
204082,2013-11-12,Homefront,Homefront
23168,2010-09-15,The Town,The Town
1086591,2023-12-01,青春ブタ野郎はランドセルガールの夢を見ない,Rascal Does Not Dream of a Knapsack Kid
68728,2013-03-07,Oz the Great and Powerful,Oz the Great and Powerful
505026,2022-02-09,Death on the Nile,Death on the Nile
299687,2016-01-14,The 5th Wave,The 5th Wave
43949,2010-08-06,Flipped,Flipped
353491,2017-08-03,The Dark Tower,The Dark Tower
515001,2019-10-18,Jojo Rabbit,Jojo Rabbit
481848,2020-02-19,The Call of the Wild,The Call of the Wild
578701,2021-05-05,Those Who Wish Me Dead,Those Who Wish Me Dead
343611,2016-10-19,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back
617653,2021-10-13,The Last Duel,The Last Duel
49529,2012-03-07,John Carter,John Carter
345938,2017-03-03,The Shack,The Shack
405774,2018-12-13,Bird Box,Bird Box
401981,2018-02-28,Red Sparrow,Red Sparrow
300668,2018-02-22,Annihilation,Annihilation
65754,2011-12-14,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
193756,2013-12-24,Lone Survivor,Lone Survivor
228205,2015-04-09,The Longest Ride,The Longest Ride
222935,2014-05-16,The Fault in Our Stars,The Fault in Our Stars
59436,2011-05-11,Midnight in Paris,Midnight in Paris
392044,2017-11-03,Murder on the Orient Express,Murder on the Orient Express
798021,2023-11-30,Family Switch,Family Switch
340666,2016-11-04,Nocturnal Animals,Nocturnal Animals
499932,2020-09-11,The Devil All the Time,The Devil All the Time
1011397,2023-01-19,Like Water for Chocolate,Like Water for Chocolate
945729,2023-09-13,A Haunting in Venice,A Haunting in Venice
448776,2018-05-24,A Prayer Before Dawn,A Prayer Before Dawn
445651,2018-07-25,The Darkest Minds,The Darkest Minds
241259,2016-05-25,Alice Through the Looking Glass,Alice Through the Looking Glass
1134754,2023-11-23,172 Hari,172 Days
271185,2014-04-19,Ask Me Anything,Ask Me Anything
318846,2015-12-11,The Big Short,The Big Short
1001865,2022-11-18,Scrooge: A Christmas Carol,Scrooge: A Christmas Carol
433808,2017-10-11,The Ritual,The Ritual
945937,2023-12-08,Fast Charlie,Fast Charlie
395990,2018-03-02,Death Wish,Death Wish
631842,2023-02-01,Knock at the Cabin,Knock at the Cabin
44264,2010-12-22,True Grit,True Grit
1123093,2023-12-07,Diary of a Wimpy Kid Christmas: Cabin Fever,Diary of a Wimpy Kid Christmas: Cabin Fever
603661,2021-12-09,The Hating Game,The Hating Game
565426,2020-02-03,To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You
44115,2010-11-12,127 Hours,127 Hours
206647,2015-10-26,Spectre,Spectre
197796,2014-02-12,La Belle et la Bête,Beauty and the Beast
990140,2023-01-16,天龍八部之喬峰傳,Sakra
342470,2020-02-28,All the Bright Places,All the Bright Places
