id,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres
155,The Dark Knight,2008-07-16,1004558444,152,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
1726,Iron Man,2008-04-30,585174222,126,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Persian', 'iso_639_1': 'fa', 'name': 'فارسی'}, {'english_name': 'Urdu', 'iso_639_1': 'ur', 'name': 'اردو'}, {'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]"
561,Constantine,2005-02-08,230900000,121,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]"
559,Spider-Man 3,2007-05-01,894983373,139,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"
557,Spider-Man,2002-05-01,821708551,121,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
36647,Blade,1998-08-21,131183530,121,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]"
1724,The Incredible Hulk,2008-06-12,264770996,114,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]"
752,V for Vendetta,2006-02-23,132511035,132,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]"
272,Batman Begins,2005-06-10,374218673,140,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Urdu', 'iso_639_1': 'ur', 'name': 'اردو'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
1250,Ghost Rider,2007-01-15,228738393,114,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]"
